time,rainfall_mm
2019-12-01,0.0
2019-12-02,0.0
2019-12-03,0.0
2019-12-04,0.0
2019-12-05,0.0
2019-12-06,1.2
2019-12-07,0.0
2019-12-08,5.2
2019-12-09,2.0
2019-12-10,4.6
2019-12-11,1.1
2019-12-12,9.0
2019-12-13,3.6
2019-12-14,6.9
2019-12-15,9.7
2019-12-16,0.0
2019-12-17,0.1
2019-12-18,17.7
2019-12-19,16.4
2019-12-20,10.7
2019-12-21,5.8
2019-12-22,3.0
2019-12-23,1.3
2019-12-24,1.9
2019-12-25,0.0
2019-12-26,11.1
2019-12-27,4.3
2019-12-28,0.0
2019-12-29,0.0
2019-12-30,0.0
2019-12-31,0.0
2020-01-01,3.2
2020-01-02,0.7
2020-01-03,0.1
2020-01-04,0.0
2020-01-05,0.0
2020-01-06,3.3
2020-01-07,0.0
2020-01-08,4.0
2020-01-09,4.8
2020-01-10,0.0
2020-01-11,0.1
2020-01-12,0.5
2020-01-13,7.9
2020-01-14,14.6
2020-01-15,1.7
2020-01-16,11.8
2020-01-17,1.8
2020-01-18,0.0
2020-01-19,0.0
2020-01-20,0.0
2020-01-21,0.0
2020-01-22,0.2
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.3
2020-01-26,3.4
2020-01-27,6.6
2020-01-28,3.0
2020-01-29,0.0
2020-01-30,0.9
2020-01-31,0.3
2020-02-01,1.0
2020-02-02,4.5
2020-02-03,1.0
2020-02-04,0.1
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,3.0
2020-02-08,0.2
2020-02-09,7.4
2020-02-10,8.2
2020-02-11,5.0
2020-02-12,1.0
2020-02-13,18.8
2020-02-14,2.7
2020-02-15,23.3
2020-02-16,15.5
2020-02-17,2.7
2020-02-18,3.4
2020-02-19,0.2
2020-02-20,0.7
2020-02-21,0.0
2020-02-22,0.1
2020-02-23,1.9
2020-02-24,2.0
2020-02-25,7.2
2020-02-26,3.2
2020-02-27,11.1
2020-02-28,5.6
2020-02-29,9.3
2020-03-01,3.1
2020-03-02,1.8
2020-03-03,0.0
2020-03-04,4.2
2020-03-05,10.9
2020-03-06,0.5
2020-03-07,0.3
2020-03-08,6.8
2020-03-09,5.4
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,1.2
2020-03-13,2.7
2020-03-14,0.0
2020-03-15,10.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.7
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,0.0
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.2
2020-04-03,0.3
2020-04-04,0.5
2020-04-05,1.5
2020-04-06,1.2
2020-04-07,0.0
2020-04-08,0.1
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,11.8
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,0.2
2020-04-25,0.0
2020-04-26,0.0
2020-04-27,0.2
2020-04-28,5.8
2020-04-29,7.0
2020-04-30,6.8
2020-05-01,1.2
2020-05-02,0.0
2020-05-03,1.3
2020-05-04,0.0
2020-05-05,8.8
2020-05-06,0.0
2020-05-07,0.0
2020-05-08,0.0
2020-05-09,0.0
2020-05-10,0.0
2020-05-11,0.0
2020-05-12,0.0
2020-05-13,0.0
2020-05-14,0.0
2020-05-15,0.0
2020-05-16,0.0
2020-05-17,0.0
2020-05-18,0.0
2020-05-19,0.0
2020-05-20,0.0
2020-05-21,0.0
2020-05-22,0.0
2020-05-23,0.0
2020-05-24,0.0
2020-05-25,0.0
2020-05-26,0.0
2020-05-27,0.0
2020-05-28,0.0
2020-05-29,0.0
2020-05-30,0.0
2020-05-31,0.0
2020-06-01,0.0
2020-06-02,0.0
2020-06-03,2.4
2020-06-04,0.1
2020-06-05,2.1
2020-06-06,0.0
2020-06-07,0.0
2020-06-08,0.0
2020-06-09,0.0
2020-06-10,10.9
2020-06-11,12.7
2020-06-12,10.5
2020-06-13,0.4
2020-06-14,0.0
2020-06-15,0.0
2020-06-16,0.0
2020-06-17,2.6
2020-06-18,32.0
2020-06-19,8.0
2020-06-20,0.3
2020-06-21,3.7
2020-06-22,0.3
2020-06-23,0.0
2020-06-24,0.0
2020-06-25,0.3
2020-06-26,2.0
2020-06-27,5.6
2020-06-28,1.0
2020-06-29,0.4
2020-06-30,2.4
2020-07-01,1.3
2020-07-02,0.3
2020-07-03,1.7
2020-07-04,0.2
2020-07-05,0.5
2020-07-06,0.4
2020-07-07,0.3
2020-07-08,0.1
2020-07-09,0.3
2020-07-10,0.4
2020-07-11,0.9
2020-07-12,0.5
2020-07-13,2.5
2020-07-14,0.0
2020-07-15,0.0
2020-07-16,0.2
2020-07-17,0.0
2020-07-18,0.1
2020-07-19,4.3
2020-07-20,0.1
2020-07-21,0.7
2020-07-22,0.4
2020-07-23,0.4
2020-07-24,1.0
2020-07-25,2.3
2020-07-26,0.6
2020-07-27,1.9
2020-07-28,0.0
2020-07-29,0.1
2020-07-30,0.0
2020-07-31,0.1
2020-08-01,0.2
2020-08-02,0.3
2020-08-03,0.0
2020-08-04,0.0
2020-08-05,0.2
2020-08-06,0.0
2020-08-07,0.0
2020-08-08,0.0
2020-08-09,0.0
2020-08-10,0.2
2020-08-11,0.1
2020-08-12,0.2
2020-08-13,3.7
2020-08-14,0.1
2020-08-15,1.6
2020-08-16,1.0
2020-08-17,9.9
2020-08-18,0.6
2020-08-19,29.4
2020-08-20,0.1
2020-08-21,0.3
2020-08-22,0.1
2020-08-23,0.0
2020-08-24,8.2
2020-08-25,6.8
2020-08-26,0.0
2020-08-27,19.9
2020-08-28,2.1
2020-08-29,0.0
2020-08-30,0.0
2020-08-31,0.0
2020-09-01,0.0
2020-09-02,0.0
2020-09-03,0.0
2020-09-04,0.4
2020-09-05,0.0
2020-09-06,0.3
2020-09-07,0.4
2020-09-08,0.0
2020-09-09,0.0
2020-09-10,0.0
2020-09-11,0.0
2020-09-12,0.0
2020-09-13,0.0
2020-09-14,0.0
2020-09-15,0.0
2020-09-16,0.0
2020-09-17,0.1
2020-09-18,0.0
2020-09-19,0.2
2020-09-20,0.0
2020-09-21,0.0
2020-09-22,0.1
2020-09-23,5.3
2020-09-24,4.0
2020-09-25,0.0
2020-09-26,0.0
2020-09-27,0.0
2020-09-28,1.2
2020-09-29,0.0
2020-09-30,7.4
2020-10-01,1.8
2020-10-02,13.4
2020-10-03,15.5
2020-10-04,5.0
2020-10-05,4.1
2020-10-06,2.0
2020-10-07,0.7
2020-10-08,0.4
2020-10-09,0.3
2020-10-10,0.1
2020-10-11,0.0
2020-10-12,1.8
2020-10-13,1.0
2020-10-14,0.0
2020-10-15,0.0
2020-10-16,0.0
2020-10-17,0.0
2020-10-18,0.0
2020-10-19,2.0
2020-10-20,1.0
2020-10-21,15.6
2020-10-22,2.3
2020-10-23,3.9
2020-10-24,6.0
2020-10-25,0.5
2020-10-26,1.0
2020-10-27,3.1
2020-10-28,1.8
2020-10-29,1.0
2020-10-30,0.5
2020-10-31,14.6
2020-11-01,1.5
2020-11-02,0.2
2020-11-03,6.3
2020-11-04,0.0
2020-11-05,0.1
2020-11-06,0.3
2020-11-07,0.1
2020-11-08,0.6
2020-11-09,4.8
2020-11-10,1.1
2020-11-11,9.9
2020-11-12,0.6
2020-11-13,4.0
2020-11-14,12.5
2020-11-15,3.3
2020-11-16,0.9
2020-11-17,0.0
2020-11-18,1.0
2020-11-19,0.1
2020-11-20,2.4
2020-11-21,0.0
2020-11-22,0.0
2020-11-23,0.2
2020-11-24,0.0
2020-11-25,1.8
2020-11-26,0.2
2020-11-27,0.4
2020-11-28,6.7
2020-11-29,0.4
2020-11-30,0.5
2020-12-01,0.0
2020-12-02,0.0
2020-12-03,1.6
2020-12-04,3.1
2020-12-05,1.1
2020-12-06,0.0
2020-12-07,0.1
2020-12-08,0.3
2020-12-09,7.9
2020-12-10,5.6
2020-12-11,1.2
2020-12-12,2.2
2020-12-13,6.8
2020-12-14,6.2
2020-12-15,0.8
2020-12-16,9.0
2020-12-17,2.3
2020-12-18,14.4
2020-12-19,6.2
2020-12-20,0.4
2020-12-21,8.4
2020-12-22,1.1
2020-12-23,21.8
2020-12-24,0.2
2020-12-25,0.0
2020-12-26,0.0
2020-12-27,16.5
2020-12-28,4.8
2020-12-29,1.2
2020-12-30,1.9
2020-12-31,0.3
2021-01-01,0.2
2021-01-02,0.7
2021-01-03,0.0
2021-01-04,0.0
2021-01-05,0.0
2021-01-06,0.0
2021-01-07,0.1
2021-01-08,0.1
2021-01-09,0.0
2021-01-10,0.0
2021-01-11,0.4
2021-01-12,2.1
2021-01-13,0.3
2021-01-14,0.0
2021-01-15,0.0
2021-01-16,12.7
2021-01-17,0.0
2021-01-18,1.3
2021-01-19,4.6
2021-01-20,15.3
2021-01-21,0.6
2021-01-22,0.4
2021-01-23,0.0
2021-01-24,6.4
2021-01-25,0.1
2021-01-26,2.3
2021-01-27,1.3
2021-01-28,7.6
2021-01-29,4.0
2021-01-30,9.8
2021-01-31,5.3
2021-02-01,2.8
2021-02-02,1.4
2021-02-03,0.0
2021-02-04,6.3
2021-02-05,2.2
2021-02-06,0.0
2021-02-07,0.0
2021-02-08,0.0
2021-02-09,0.0
2021-02-10,0.0
2021-02-11,0.0
2021-02-12,0.0
2021-02-13,0.0
2021-02-14,11.8
2021-02-15,1.1
2021-02-16,4.9
2021-02-17,9.5
2021-02-18,2.3
2021-02-19,4.2
2021-02-20,15.0
2021-02-21,1.0
2021-02-22,1.8
2021-02-23,0.1
2021-02-24,0.0
2021-02-25,0.0
2021-02-26,0.0
2021-02-27,0.1
2021-02-28,0.0
2021-03-01,0.0
2021-03-02,0.0
2021-03-03,3.2
2021-03-04,0.3
2021-03-05,0.1
2021-03-06,0.3
2021-03-07,0.0
2021-03-08,0.0
2021-03-09,0.0
2021-03-10,2.7
2021-03-11,3.0
2021-03-12,8.4
2021-03-13,3.5
2021-03-14,0.5
2021-03-15,0.0
2021-03-16,0.0
2021-03-17,0.0
2021-03-18,0.0
2021-03-19,0.0
2021-03-20,0.0
2021-03-21,0.0
2021-03-22,0.1
2021-03-23,0.1
2021-03-24,0.2
2021-03-25,3.3
2021-03-26,7.7
2021-03-27,0.0
2021-03-28,0.0
2021-03-29,0.0
2021-03-30,0.0
2021-03-31,0.0
2021-04-01,0.1
2021-04-02,0.0
2021-04-03,0.1
2021-04-04,0.0
2021-04-05,0.0
2021-04-06,0.0
2021-04-07,1.1
2021-04-08,0.2
2021-04-09,0.4
2021-04-10,0.5
2021-04-11,1.6
2021-04-12,3.4
2021-04-13,0.2
2021-04-14,0.1
2021-04-15,0.0
2021-04-16,0.1
2021-04-17,0.0
2021-04-18,0.0
2021-04-19,0.0
2021-04-20,0.0
2021-04-21,0.0
2021-04-22,0.0
2021-04-23,0.0
2021-04-24,0.0
2021-04-25,0.0
2021-04-26,0.0
2021-04-27,0.0
2021-04-28,4.0
2021-04-29,0.0
2021-04-30,4.5
2021-05-01,4.3
2021-05-02,0.0
2021-05-03,3.9
2021-05-04,0.0
2021-05-05,0.8
2021-05-06,0.4
2021-05-07,0.0
2021-05-08,15.3
2021-05-09,2.3
2021-05-10,0.6
2021-05-11,9.0
2021-05-12,27.7
2021-05-13,24.1
2021-05-14,0.4
2021-05-15,7.4
2021-05-16,17.9
2021-05-17,1.3
2021-05-18,8.9
2021-05-19,0.2
2021-05-20,2.7
2021-05-21,3.1
2021-05-22,0.9
2021-05-23,11.8
2021-05-24,4.0
2021-05-25,6.0
2021-05-26,0.0
2021-05-27,0.0
2021-05-28,0.2
2021-05-29,0.0
2021-05-30,0.0
2021-05-31,0.0
2021-06-01,0.0
2021-06-02,0.8
2021-06-03,0.0
2021-06-04,0.0
2021-06-05,0.0
2021-06-06,0.0
2021-06-07,0.0
2021-06-08,0.0
2021-06-09,0.0
2021-06-10,0.0
2021-06-11,0.0
2021-06-12,0.0
2021-06-13,0.0
2021-06-14,0.0
2021-06-15,0.0
2021-06-16,0.6
2021-06-17,0.5
2021-06-18,0.0
2021-06-19,15.6
2021-06-20,3.8
2021-06-21,9.6
2021-06-22,0.0
2021-06-23,0.2
2021-06-24,0.4
2021-06-25,1.2
2021-06-26,0.2
2021-06-27,28.7
2021-06-28,31.3
2021-06-29,0.0
2021-06-30,0.0
2021-07-01,0.0
2021-07-02,1.9
2021-07-03,0.3
2021-07-04,6.7
2021-07-05,10.8
2021-07-06,0.5
2021-07-07,2.4
2021-07-08,0.2
2021-07-09,0.2
2021-07-10,8.2
2021-07-11,12.3
2021-07-12,4.3
2021-07-13,0.0
2021-07-14,0.0
2021-07-15,0.0
2021-07-16,0.2
2021-07-17,0.0
2021-07-18,0.1
2021-07-19,0.0
2021-07-20,0.2
2021-07-21,0.0
2021-07-22,0.1
2021-07-23,1.0
2021-07-24,9.3
2021-07-25,0.0
2021-07-26,0.5
2021-07-27,0.0
2021-07-28,0.3
2021-07-29,7.7
2021-07-30,1.3
2021-07-31,0.2
2021-08-01,0.1
2021-08-02,0.0
2021-08-03,0.0
2021-08-04,0.0
2021-08-05,2.5
2021-08-06,0.3
2021-08-07,5.6
2021-08-08,2.3
2021-08-09,1.3
2021-08-10,1.5
2021-08-11,0.8
2021-08-12,1.1
2021-08-13,0.6
2021-08-14,0.5
2021-08-15,0.9
2021-08-16,0.1
2021-08-17,0.2
2021-08-18,0.0
2021-08-19,2.9
2021-08-20,0.4
2021-08-21,12.0
2021-08-22,0.2
2021-08-23,0.1
2021-08-24,0.1
2021-08-25,0.1
2021-08-26,0.1
2021-08-27,0.0
2021-08-28,0.2
2021-08-29,0.0
2021-08-30,0.0
2021-08-31,0.1
2021-09-01,0.0
2021-09-02,0.0
2021-09-03,0.5
2021-09-04,0.0
2021-09-05,0.1
2021-09-06,0.0
2021-09-07,0.1
2021-09-08,1.1
2021-09-09,22.4
2021-09-10,0.0
2021-09-11,0.0
2021-09-12,0.0
2021-09-13,3.4
2021-09-14,0.2
2021-09-15,0.3
2021-09-16,0.4
2021-09-17,0.3
2021-09-18,0.4
2021-09-19,0.4
2021-09-20,0.7
2021-09-21,0.4
2021-09-22,0.7
2021-09-23,0.9
2021-09-24,1.6
2021-09-25,0.9
2021-09-26,1.3
2021-09-27,16.3
2021-09-28,25.4
2021-09-29,0.1
2021-09-30,0.0
2021-10-01,0.1
2021-10-02,11.8
2021-10-03,2.3
2021-10-04,19.5
2021-10-05,0.0
2021-10-06,0.0
2021-10-07,0.0
2021-10-08,0.0
2021-10-09,0.0
2021-10-10,0.0
2021-10-11,0.0
2021-10-12,0.0
2021-10-13,0.0
2021-10-14,0.0
2021-10-15,0.0
2021-10-16,0.0
2021-10-17,0.0
2021-10-18,nan
2021-10-19,11.8
2021-10-20,32.9
2021-10-21,0.3
2021-10-22,0.0
2021-10-23,0.0
2021-10-24,0.7
2021-10-25,0.7
2021-10-26,0.0
2021-10-27,0.0
2021-10-28,28.0
2021-10-29,6.5
2021-10-30,12.9
2021-10-31,13.7
2021-11-01,0.2
2021-11-02,0.2
2021-11-03,0.1
2021-11-04,0.0
2021-11-05,0.0
2021-11-06,0.1
2021-11-07,0.1
2021-11-08,0.0
2021-11-09,0.0
2021-11-10,2.0
2021-11-11,0.4
2021-11-12,0.9
2021-11-13,0.0
2021-11-14,0.0
2021-11-15,0.0
2021-11-16,0.1
2021-11-17,0.0
2021-11-18,0.0
2021-11-19,0.0
2021-11-20,0.1
2021-11-21,0.3
2021-11-22,0.0
2021-11-23,0.0
2021-11-24,0.0
2021-11-25,0.0
2021-11-26,10.6
2021-11-27,0.9
2021-11-28,0.8
2021-11-29,0.1
2021-11-30,0.4
2021-12-01,4.1
2021-12-02,0.7
2021-12-03,7.4
2021-12-04,2.1
2021-12-05,0.4
2021-12-06,2.3
2021-12-07,16.7
2021-12-08,0.6
2021-12-09,3.5
2021-12-10,1.3
2021-12-11,0.4
2021-12-12,0.0
2021-12-13,1.0
2021-12-14,0.0
2021-12-15,0.0
2021-12-16,0.0
2021-12-17,0.0
2021-12-18,0.0
2021-12-19,0.0
2021-12-20,0.0
2021-12-21,0.0
2021-12-22,0.3
2021-12-23,0.4
2021-12-24,6.1
2021-12-25,37.7
2021-12-26,0.7
2021-12-27,6.0
2021-12-28,0.7
2021-12-29,7.7
2021-12-30,0.1
2021-12-31,1.8
2022-01-01,0.4
2022-01-02,4.2
2022-01-03,0.0
2022-01-04,1.2
2022-01-05,0.1
2022-01-06,2.0
2022-01-07,5.0
2022-01-08,6.9
2022-01-09,0.1
2022-01-10,3.6
