time,rainfall_mm
2019-12-01,0.2
2019-12-02,0.0
2019-12-03,0.0
2019-12-04,0.0
2019-12-05,0.4
2019-12-06,4.2
2019-12-07,7.4
2019-12-08,6.6
2019-12-09,0.4
2019-12-10,7.8
2019-12-11,6.2
2019-12-12,21.6
2019-12-13,6.8
2019-12-14,4.2
2019-12-15,6.2
2019-12-16,0.2
2019-12-17,1.0
2019-12-18,11.8
2019-12-19,17.4
2019-12-20,4.2
2019-12-21,22.4
2019-12-22,2.8
2019-12-23,7.0
2019-12-24,0.2
2019-12-25,0.2
2019-12-26,13.8
2019-12-27,0.0
2019-12-28,0.0
2019-12-29,0.0
2019-12-30,0.0
2019-12-31,0.2
2020-01-01,0.4
2020-01-02,5.6
2020-01-03,1.4
2020-01-04,1.0
2020-01-05,0.0
2020-01-06,7.8
2020-01-07,1.2
2020-01-08,8.4
2020-01-09,9.2
2020-01-10,0.2
2020-01-11,8.4
2020-01-12,2.8
2020-01-13,5.6
2020-01-14,11.6
2020-01-15,0.4
2020-01-16,18.0
2020-01-17,6.6
2020-01-18,0.2
2020-01-19,0.2
2020-01-20,0.2
2020-01-21,0.0
2020-01-22,0.2
2020-01-23,0.2
2020-01-24,0.0
2020-01-25,2.0
2020-01-26,5.6
2020-01-27,9.6
2020-01-28,4.2
2020-01-29,3.0
2020-01-30,3.4
2020-01-31,3.2
2020-02-01,8.0
2020-02-02,5.0
2020-02-03,10.6
2020-02-04,1.4
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,3.4
2020-02-08,0.2
2020-02-09,7.2
2020-02-10,14.4
2020-02-11,5.0
2020-02-12,12.2
2020-02-13,9.4
2020-02-14,11.2
2020-02-15,22.2
2020-02-16,19.4
2020-02-17,4.4
2020-02-18,2.2
2020-02-19,1.4
2020-02-20,6.2
2020-02-21,0.2
2020-02-22,2.0
2020-02-23,4.4
2020-02-24,6.8
2020-02-25,6.6
2020-02-26,8.4
2020-02-27,15.6
2020-02-28,19.2
2020-02-29,12.2
2020-03-01,6.2
2020-03-02,1.8
2020-03-03,2.0
